Scheme Code,Scheme Name,Scheme Category,Classification,Main Category,Sub Category,Flag,Commission
140284,Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
140294,Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
140292,Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
140289,Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
129008,Franklin India Banking & PSU Debt Fund - Direct - Growth,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,TRUE,OFF
129006,Franklin India Banking & PSU Debt Fund - Growth,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,TRUE,0.1
129009,Franklin India Banking and PSU Debt Fund - Direct - IDCW,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
129007,Franklin India Banking and PSU Debt Fund - IDCW,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
128628,HDFC Banking and PSU Debt Fund - Growth Option,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,TRUE,OFF
128629,HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,TRUE,OFF
128627,HDFC Banking and PSU Debt Fund - IDCW Option,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
128626,HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
120256,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,TRUE,OFF
120258,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
112342,ICICI Prudential Banking and PSU Debt Fund - Growth,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,TRUE,OFF
116174,ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
120444,Invesco India Banking and PSU Fund - Direct Plan -  Growth Option,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,TRUE,OFF
120443,Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment),Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
120445,Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
118234,Invesco India Banking and PSU Fund - Regular Plan - Daily IDCW (Reinvestment),Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
118232,Invesco India Banking and PSU Fund - Regular Plan - Growth Option,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,TRUE,OFF
118233,Invesco India Banking and PSU Fund - Regular Plan - Monthly IDCW (Payout / Reinvestment),Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
148534,ITI Banking & PSU Debt Fund - Direct Plan - Growth Option,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,TRUE,OFF
148536,ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
148535,ITI Banking & PSU Debt Fund - Regular Plan - Growth Option,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,TRUE,OFF
148533,ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
123690,Kotak Banking and PSU Debt - Growth,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,TRUE,OFF
123691,Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
123693,Kotak Banking and PSU Debt Direct - Growth,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,TRUE,OFF
123692,Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
120337,LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
120338,LIC MF Banking & PSU Fund-Direct Plan-Growth,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,TRUE,OFF
120339,LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
120336,LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
105822,LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
105823,LIC MF Banking & PSU Fund-Regular Plan-Growth,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,TRUE,OFF
105856,LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
105857,LIC MF Banking & PSU Fund-Regular Plan-Weekly IDCW,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
148419,Mirae Asset Banking and PSU Fund - Direct Plan - Growth,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,TRUE,OFF
148417,Mirae Asset Banking and PSU Fund - Direct Plan - IDCW,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
148416,Mirae Asset Banking and PSU Fund - Regular Plan - Growth,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,TRUE,OFF
148418,Mirae Asset Banking and PSU Fund - Regular plan - IDCW,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
134555,NIPPON INDIA BANKING and PSU  FUND - Direct Plan - IDCW Option,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
134553,NIPPON INDIA BANKING and PSU  FUND - WEEKLY IDCW Option,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
134547,Nippon India Banking and PSU  Fund- Direct Plan-Growth Plan- Growth Option,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,TRUE,OFF
134550,NIPPON INDIA BANKING and PSU FUND - Direct Plan - MONTHLY IDCW Option,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
134556,NIPPON INDIA BANKING and PSU FUND - Direct Plan - QUARTERLY IDCW Option,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
134554,NIPPON INDIA BANKING and PSU FUND - Direct Plan - WEEKLY IDCW Option,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
134548,NIPPON INDIA BANKING and PSU FUND - IDCW Option,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
134549,NIPPON INDIA BANKING and PSU FUND - MONTHLY IDCW Option,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
134551,NIPPON INDIA BANKING and PSU FUND - QUARTERLY IDCW Option,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
134552,Nippon India Banking and PSU Fund- Direct Plan-Growth Plan- Bonus Option,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,TRUE,OFF
134545,Nippon India Banking and PSU Fund- Growth Plan- Growth Option,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,TRUE,OFF
125502,SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
125503,SBI BANKING & PSU FUND - Direct Plan - Growth,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,TRUE,OFF
125505,SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
125504,SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
125498,SBI BANKING & PSU FUND - Regular Paln - Growth,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,TRUE,OFF
125499,SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
125501,SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
125500,SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
119625,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Growth,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,TRUE,OFF
119626,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Income Distribution cum Capital Withdrawal (IDCW),Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
100784,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Growth,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,TRUE,OFF
100793,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
140135,UTI Banking & PSU Fund - Direct Plan - Annual IDCW,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
133972,UTI Banking & PSU Fund - Direct Plan - Flexi IDCW,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
126940,UTI Banking & PSU Fund - Direct Plan - Growth Option,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,TRUE,OFF
141375,UTI Banking & PSU Fund - Direct Plan - Half-Yearly IDCW,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
134026,UTI Banking & PSU Fund - Direct Plan - Monthly IDCW,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
126942,UTI Banking & PSU Fund - Direct Plan - Quarterly IDCW,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
140116,UTI Banking & PSU Fund - Regular Plan - Annual IDCW,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
133971,UTI Banking & PSU Fund - Regular Plan - Flexi IDCW,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
139407,UTI Banking & PSU Fund - Regular Plan - Half-Yearly IDCW,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
136110,UTI Banking & PSU Fund - Regular Plan - Monthly IDCW,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
126941,UTI Banking & PSU Fund - Regular Plan - Quarterly IDCW,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
